seq,stddev,N_IN_Conn_P_Src,N_IN_Conn_P_Dst,duration,pkts,bytes,srate,drate,proto,state,label
94664,0.22344202701409194,84,64,38.43487986129196,711,2959,2491.7100035140343,66.0745395636221,tcp,FIN,normal
40398,1.643867489172472,83,35,119.00083427049864,12,498143,3174.9902803528726,27.575764196927445,tcp,CON,normal
91388,1.1156262482158832,48,54,70.84838151540137,103,182592,141.9482582388319,94.13024726154742,tcp,CON,normal
1017,1.5298741329484526,33,71,85.2865780732561,699,424972,1237.9187427882382,21.344424774373515,udp,INT,normal
89790,0.6187318225501984,47,79,63.15961010614086,4165,488941,1251.1469539172722,37.415827588819695,tcp,CON,dos
55592,3.5605832425490744,97,96,92.39694754155238,690,412123,4416.169474250613,28.3693942335692,udp,INT,normal
89813,1.3278054792567349,90,11,90.24897618726153,2135,480670,1657.5056187061068,93.1123508169197,tcp,FIN,dos
23248,0.13390677603195053,66,35,78.85787673550358,171,364498,2725.762424650788,82.83701424783035,tcp,CON,theft
24301,0.8962210255600173,159,23,119.72916963019178,689,175624,4157.94917637444,81.12719372858653,tcp,CON,reconnaissance
74066,2.1180710402553267,45,91,55.17576429644244,445,35576,1298.543093335425,0.4710081875119787,tcp,CON,dos
82799,2.3707988038818613,237,66,84.74337560343031,716,169404,618.873011626574,68.59005002083208,tcp,CON,reconnaissance
9269,1.023598878829022,89,41,95.73355775862738,2195,338522,4741.804196561585,23.027369512868944,tcp,CON,dos
86808,3.3770905900475205,54,71,45.12478911663572,1735,13646,3523.444211877211,96.77442571932995,tcp,INT,dos
12186,0.46728286938182767,35,87,54.861546131406676,4275,11282,885.3511230241385,53.07514080354652,tcp,FIN,dos
63705,0.792971997543704,20,39,116.30010279960385,211,355697,4098.5757989078975,56.47030013999449,tcp,INT,theft
86780,3.4329775807913263,61,22,3.875889764175844,3625,96187,3935.654354016592,35.64828248233006,udp,CON,dos
39100,3.3987537885634853,34,49,40.236143179655755,434,449501,4187.721733267681,53.67306223024113,udp,INT,normal
8572,1.736171943353649,40,40,58.346069267678054,533,392383,1381.1352620134808,74.97371876241444,tcp,URP,normal
38045,2.938286151671825,94,46,0.17679770330975897,6000,26347,56073.83772443789,56.19201540943217,tcp,CON,ddos
51215,0.1394452934942954,54,54,107.8953529936924,2625,441195,3468.3993487662447,64.12628898916901,tcp,INT,dos
61229,3.00366493194056,76,95,34.35004178105883,2130,258156,1953.398804389602,47.24680779548904,tcp,CON,dos
48985,0.5798617858148873,85,68,30.925322148301206,996,471543,349.9538638641076,71.63997107228298,tcp,INT,normal
40775,0.29462739759631135,147,37,98.43932311625368,120,129968,682.3351250017805,89.95590170883764,tcp,CON,reconnaissance
2569,0.4104120398391349,55,70,33.35870943706854,911,450791,2985.6078141366415,5.105119991096519,udp,URP,theft
62593,0.8118460841592219,63,28,78.91505364564878,890,422877,1875.9034811731483,10.7296530681676,tcp,CON,dos
67564,0.43390901439630675,50,52,98.5805557650912,129,224281,27.000121035357807,68.56091145034215,tcp,CON,normal
2696,0.5797462720111786,98,68,95.09742924839698,2815,150917,3834.295949427792,37.77044152705974,tcp,CON,dos
48191,0.21750135114911,270,25,93.83430654037404,418,102465,2083.577043601525,28.161843799359243,udp,INT,reconnaissance
5259,0.5268420626903748,47,78,10.637419746258317,5540,56967,39222.87625752793,17.859328346235614,tcp,INT,ddos
87539,1.2739431321737593,45,53,9.582556261716132,3180,230663,89190.61358343979,57.26362767712831,tcp,CON,ddos
39505,0.8747012686230812,92,75,36.81309751845075,607,346540,2275.5985840501185,34.753239559061356,udp,CON,normal
33160,0.6386213327855891,159,19,4.314709795640937,242,211897,3474.186063849996,50.79608261113848,udp,CON,reconnaissance
13987,2.058303949468109,198,56,60.0520679525752,928,459533,66.08909209787464,95.85612282138145,tcp,INT,reconnaissance
61859,3.3595558894834694,75,28,47.37445317035992,3560,257631,1179.9907103178452,75.82676456658153,icmp,FIN,ddos
12667,2.120740224222379,90,93,66.84355247926536,5730,246750,69988.84154647123,79.59508692733579,tcp,CON,ddos
38661,0.6052022347806206,39,98,35.85532585182418,861,141652,4911.061949939116,12.419790306302481,tcp,CON,normal
3562,2.0464598189685734,19,90,58.29099460484825,4380,32492,34046.473846696696,32.49803187968916,udp,CON,ddos
26855,0.24727691060895823,70,60,40.17003715832059,2290,25714,3414.4994964776592,10.623547202286899,udp,CON,dos
64506,0.20944145654913,72,22,23.425775858704807,442,120036,861.3704887591215,96.85209301540642,tcp,INT,normal
52252,0.6361167154671314,45,72,77.92435236985665,981,93556,1557.8120039409928,68.21876151332016,udp,CON,normal
22663,2.4730664189777496,63,25,80.81263474400073,1140,338897,390.4666448869924,1.9233837504258,udp,CON,dos
8393,0.4242373260546094,74,62,99.50797389827726,2040,142873,4403.977720468228,47.550482182113576,udp,FIN,dos
30536,0.09801372057721375,91,44,104.97033922666382,923,362983,1552.2559640256602,26.35256365508287,tcp,FIN,theft
78604,0.2118434751617621,13,68,84.53572406224549,2770,484923,28810.229759255242,53.995885126707286,tcp,URP,ddos
52257,2.9357824328407194,64,48,82.50008290561475,18,401880,3653.047831781658,17.865768647186364,tcp,CON,normal
89136,1.5067950039551397,63,76,6.802023164711364,3780,115586,997.2808340369028,5.685549063165762,tcp,CON,dos
35223,0.43793913768358994,98,82,13.174399195739124,311,227435,1201.4527749558652,32.3177532278316,tcp,INT,normal
77374,1.2155189908437531,73,70,97.50771268419442,324,134819,518.1709066782068,29.550711070472236,tcp,INT,normal
79576,1.1248290889766803,31,59,27.95491844357416,470,33854,120359.08146958661,71.69635847313732,tcp,FIN,ddos
96355,1.5982130500877496,34,62,42.66845166098974,8220,224912,30956.599595836058,47.45488591095351,tcp,CON,ddos
84652,0.39826955610293235,90,55,17.436537143751544,530,150351,4978.316947681633,29.132780333358365,tcp,FIN,normal
63336,2.997101899763556,68,61,23.419041077021706,8960,252292,22020.739747457446,57.04305184284607,tcp,CON,ddos
10966,0.5552234586665599,198,38,93.05029282718938,713,333535,103.35718470585239,7.131738823124079,tcp,CON,reconnaissance
24539,1.776900767044054,63,14,31.423892482245076,2500,499831,4478.478497860072,66.23526117537502,tcp,CON,dos
70593,0.024384094644147827,53,76,53.884746916736546,7650,426633,72503.20643688482,14.72893667664772,tcp,FIN,ddos
98019,0.6993930683083187,61,83,18.201413095735656,1920,10829,43927.87147301612,27.96993693208909,tcp,CON,ddos
8111,0.6501253066135146,85,84,81.35191082802552,490,19612,64168.67445797525,28.212288717172008,tcp,INT,ddos
79310,1.1761987036295944,25,90,87.392639826283,94,51246,1303.708701841652,46.585191984330734,udp,CON,normal
27267,0.11327586994287028,25,49,43.40371645552776,4655,185469,3173.8307755230935,95.31573664299488,tcp,CON,dos
52993,2.3419102997987515,90,81,94.16981278808395,3745,471072,3082.381144856997,32.46592504354285,tcp,INT,dos
82949,0.3684304096046704,64,11,28.789558324003252,734,54362,401.0534259695427,28.132186847093966,icmp,CON,normal
98807,1.6953300548269217,70,77,83.02877154815663,1670,267281,113836.23585488308,16.880198529660394,tcp,INT,ddos
6911,2.4384433471672846,88,71,87.59601980587306,494,148292,2302.6806585913196,39.19689000861707,tcp,CON,normal
90983,1.237883229350713,258,89,116.23891667727536,254,24783,975.8511449979105,18.204111187257066,udp,CON,reconnaissance
207,2.0257145694417233,49,67,27.879367500740766,4770,16079,1536.9885587941344,13.776933631563049,udp,INT,dos
87055,1.6264442871064988,30,94,11.246163894650284,57,41066,4331.122152012548,85.73586058147855,tcp,FIN,normal
87898,0.6589900359691236,75,78,31.564987639352104,6,58671,1915.987541393307,5.263873452303535,udp,CON,theft
23420,2.482112237605362,17,67,14.744340727657704,974,343356,2809.8496598610222,71.08251194599853,tcp,CON,normal
50637,0.5237009655651451,80,44,20.364147325008666,238,411161,4738.453905441268,20.257090102007112,udp,CON,normal
50016,1.270192192549011,19,23,40.09440730820507,733,190094,3258.6170162660733,1.1715023287961923,tcp,FIN,normal
54269,2.0520790692857585,66,24,49.67947561589338,1120,235935,3378.616147953617,79.51449587969596,tcp,URP,dos
87940,0.7145298013159979,39,15,108.44700336593979,590,129737,1242.9193289266602,70.22855192235235,tcp,CON,reconnaissance
18142,0.5409547586108778,52,25,23.47469696423103,20,67260,3341.5090956214203,33.42989063743409,tcp,CON,normal
80357,0.9224636698978936,72,96,116.61110535157002,818,137728,1969.074340688087,7.933253389047357,udp,FIN,theft
71911,2.5553220472796467,52,55,97.21857503433071,7770,383557,113880.53296874774,36.067156369778665,tcp,CON,ddos
56045,3.9872144875687727,76,72,105.77668531582303,1020,274436,647.7812856680946,18.13275803018285,udp,CON,dos
67215,1.1814618027060808,91,21,111.53334932483948,142,235756,1428.2731842831738,93.2503553371556,tcp,CON,theft
33828,1.6246970325762256,60,50,90.38919041573735,376,98249,330.09704313819503,52.962310225479484,udp,INT,normal
55821,3.5038037015875494,65,28,94.65379101421571,4070,306167,47614.528886627195,96.38436377269242,tcp,INT,ddos
62624,0.15562081229588548,52,85,52.538757774377736,4080,18466,741.9484935154393,35.131412190042745,tcp,CON,dos
81735,0.39610179899834513,33,86,61.25451771091459,9940,467213,105643.35644841522,55.64628186743985,udp,CON,ddos
75451,1.8511326745594214,43,11,111.89831872656934,80,121957,4625.223505625716,19.01234300952195,tcp,CON,normal
93427,2.6037306240138394,68,29,45.39133113040638,1050,220343,3347.161281459098,80.84290940375288,tcp,CON,dos
22300,2.9176704969709424,11,18,5.034606820631799,768,389366,516.7626664691977,4.11003123694198,tcp,CON,normal
43586,0.8044899852510017,33,30,91.53076350258728,312,439380,1708.220245023939,69.56154229361279,tcp,CON,reconnaissance
64045,0.14037834050524065,19,17,68.77932824859049,3770,271583,120561.57531376152,39.16600923589073,udp,CON,ddos
42558,0.8637970113535263,96,48,97.78530060523505,40,417690,681.5924896751054,57.84157740250772,tcp,FIN,reconnaissance
49081,0.3934788491259059,24,46,9.067076442048842,1765,265257,2782.4912641757196,59.225913491656954,tcp,CON,dos
2694,0.5162653174322624,85,38,74.5482176251043,453,362551,1764.712087030213,71.07951141343169,tcp,FIN,normal
95004,2.219375751019985,26,92,29.72545885300297,4230,91448,124895.32861257734,20.426220323125953,tcp,CON,ddos
95260,0.11779728991660854,273,44,108.39232807074359,714,438806,1427.0167843025956,53.13859212156312,tcp,INT,reconnaissance
69164,2.6367434690387395,23,47,13.190082859069738,860,152370,5973.9137297672105,42.692593639339584,tcp,FIN,ddos
25940,0.8370569003922714,90,99,101.16846965773485,5550,389649,87773.59639604637,28.218110886036406,tcp,CON,ddos
48926,1.3597479882623968,88,84,10.62742168237727,1180,19398,1633.7639772875252,49.57278227645263,tcp,INT,dos
42942,0.1408928834997415,85,44,3.0126575622842746,4965,195141,3287.9414116297185,95.2015045251085,tcp,INT,dos
21835,0.6172830477422866,25,77,28.207896545600637,4450,8515,523.3494688738915,94.88849471790223,tcp,URP,dos
18048,0.14097310956750156,41,12,39.96601186666113,4150,435364,65384.09245827906,27.881731996174242,tcp,CON,ddos
26106,4.887350013431412,32,21,75.18382608865274,582,347415,1876.220218858398,88.42071649020068,tcp,CON,normal
75767,2.469632558783087,129,41,15.807819958729093,356,127802,2683.8819931797548,87.6754809387134,tcp,URP,reconnaissance
15708,0.9232594290771414,25,56,52.4801547009954,6430,451026,106684.41606164722,24.95846476012755,tcp,CON,ddos
21977,0.37963606488458046,43,72,24.512427988742747,3220,355009,4863.739165077581,59.89507464230511,tcp,URP,dos
44263,4.0648176751187,80,35,102.63654328232604,2480,288009,94142.13580937758,86.9935759278425,tcp,FIN,ddos
23777,0.6337565228093041,42,52,5.396935987648645,6670,177427,95857.8722567617,51.499480195180325,tcp,CON,ddos
30081,0.26328902533702236,77,86,42.713171264895834,7420,444539,66118.1888771997,36.97694669010072,tcp,CON,ddos
66843,1.2422974944149021,52,53,75.76525822221309,601,117764,487.08997929699524,65.07854302432061,udp,CON,normal
61374,4.317567203986966,73,47,109.57066827805463,2290,318313,83383.27564135016,17.242506344317032,tcp,CON,ddos
6777,0.005756467272771317,240,38,104.15934272984474,539,86113,738.9845809251822,16.173138162992352,tcp,CON,reconnaissance
92788,0.4079588595141885,27,64,107.4231447500601,361,463667,1228.3807167879938,83.26461317742371,tcp,FIN,normal
55017,4.1818006364154545,77,61,7.543332388664168,8680,21204,88448.54517749125,4.187491593812576,tcp,CON,ddos
9475,0.2814582430347302,210,28,100.91095045235367,750,178209,3284.9972713310726,80.36299792257493,tcp,CON,reconnaissance
58054,0.18027720102164485,84,44,93.58972951271575,175,258329,1571.6982753547459,29.049415809293155,tcp,CON,normal
21960,1.266608326024937,29,57,108.291895481425,828,161169,3860.243975444258,48.31224909520323,tcp,INT,normal
5531,2.969055777715554,60,69,37.389840494692905,804,283453,4696.584990632831,54.3515055047929,tcp,CON,reconnaissance
94857,0.9725757201533726,88,40,109.41190098769773,1870,115220,2726.343579759886,76.70692734606803,tcp,INT,dos
3749,7.822138504775285,55,12,48.31752756928864,9420,335443,84711.63816048868,88.38579865433599,tcp,CON,ddos
97505,1.7052737827245203,73,44,76.09232816341047,610,293280,33974.26860982236,80.42241253964654,udp,FIN,ddos
98099,0.11544291138572504,90,97,50.90205476584859,170,372277,4854.038142509006,57.234377528045755,tcp,INT,theft
13546,7.407220461434324,85,61,51.31838401344762,507,70270,1368.597188437766,34.80136703493662,udp,CON,normal
66200,0.7861050089510343,37,80,65.5968956183694,775,446260,4437.056380341666,52.6557824958654,tcp,CON,normal
34767,0.5082578723880427,57,60,42.711849227789074,4140,37158,115983.8193020604,3.00216846274719,udp,CON,ddos
73531,1.2242581409003588,44,65,95.12864657531402,818,244373,3598.1710101602193,24.498011523973563,tcp,CON,normal
93558,0.5442714879065125,17,30,76.03701461109326,1160,51353,101448.89949652398,36.61553658875793,tcp,CON,ddos
61088,0.1356380815251496,31,10,82.77100162891195,1750,461720,57233.45633175056,31.975452415150407,tcp,CON,ddos
95840,0.0021440462003186203,99,62,27.72494499181141,733,60290,4597.741992571325,9.514694073115681,tcp,CON,reconnaissance
68841,0.8956196210990275,75,15,116.34906504247861,4240,137464,92831.42401427994,5.075408141404458,tcp,CON,ddos
54385,2.719751292851454,285,91,79.22147155665807,128,357060,1633.7872832726127,42.07147795741529,udp,CON,reconnaissance
51006,1.2740531545659326,73,71,23.664306547782463,2445,308968,174.82234376043655,7.479975329822319,tcp,CON,dos
46577,10.710096577891129,74,98,90.05907872628059,25,65561,2703.9620534617693,28.620805854153385,udp,URP,dos
39354,0.5070881976767506,23,88,20.846518670811516,3260,20555,105081.68896682882,47.4825658753293,tcp,INT,ddos
62004,0.4937044517684027,34,56,7.607124171044707,6980,443826,107583.86318874049,20.99612713581811,tcp,CON,ddos
83212,0.26108275498451583,12,59,63.306879984103965,172,24999,4175.610115545141,7.95349263455739,tcp,INT,normal
52734,0.2688040969630185,14,91,66.4233209755275,1990,451363,26845.273811426257,43.213327064579296,tcp,CON,ddos
65319,0.5036006156823749,222,40,22.6766800022171,231,379349,2130.799783151528,44.84764984919699,udp,CON,reconnaissance
89475,2.3613960839553583,63,73,41.806124936114784,4000,22761,3069.167893321844,91.56142963287202,udp,URP,dos
23665,3.542814756664148,28,38,113.49236971214795,4235,495264,3337.815704690959,12.783764257646713,udp,INT,dos
67173,5.53855850315254,63,24,34.2011028472667,627,346357,1672.9836497887645,61.49953776776284,tcp,CON,normal
85617,0.39651415611938856,85,67,18.669011723783473,333,258053,3463.24235451993,31.970256636537098,udp,CON,normal
93265,3.1967029505417637,19,32,119.10744247789582,2330,375897,2954.525947637317,12.359783039692152,tcp,CON,dos
26737,0.5968149114946704,25,47,36.27736206011963,4210,459281,2833.921195973287,39.31471067752528,tcp,FIN,dos
94210,0.1795958151009065,55,50,81.6307605238563,424,202167,3315.157816194012,42.79375853642152,tcp,CON,normal
855,3.060618872520781,38,84,27.787990212530527,1565,450457,3016.879307537988,36.356451429076294,tcp,CON,dos
90085,1.5163374877918816,24,24,66.01499351716974,5230,191323,20861.412145746093,76.57327409353287,udp,CON,ddos
38624,0.2700019888648958,171,96,46.354452111167255,424,388233,4372.094195193663,83.92064699539362,udp,CON,reconnaissance
7393,0.8427343837705508,20,12,115.38954975984147,6160,160338,30073.117759680907,14.873176176321746,tcp,CON,ddos
55681,0.5079530209305191,43,92,51.93727214018397,175,154188,3722.4694572838484,16.790507162963365,tcp,CON,normal
46718,2.0022306662164957,45,10,70.10131792762272,898,43189,882.3657191249781,42.12175981433277,tcp,CON,normal
87093,0.9061015495748643,117,97,113.37200714175175,987,135455,3304.8659676648494,32.01889611015385,tcp,INT,reconnaissance
50860,6.80345850401932,246,84,118.70812675825468,948,459800,4478.429225619902,81.95736053923375,tcp,INT,reconnaissance
26310,0.0844507917769645,91,20,12.199902022235575,3740,443859,1216.2901450395811,99.6811203114993,tcp,INT,ddos
87456,0.6577929463421335,28,69,100.11865112437462,632,357610,4898.390364934792,18.111037143446218,udp,INT,normal
63735,0.9863809915579699,77,74,45.85459718597566,237,341958,148.47636571285767,76.25441508398029,tcp,FIN,normal
70468,1.04915101623794,79,85,71.37984991596733,7480,498276,1423.424192779546,60.724681621663635,tcp,CON,ddos
52663,0.5695553082592099,42,13,45.0063944265505,968,405578,4287.814735676658,64.44240666350147,udp,CON,normal
98507,1.959785069004189,89,34,48.13454356236942,817,246033,3543.5491451200355,26.444146900388652,tcp,CON,normal
12689,3.1161302608989625,252,81,19.0637454606774,443,340630,529.1427085760897,9.719622213912194,tcp,CON,reconnaissance
25343,4.188435544371009,31,88,68.73240224488548,190,438383,4687.080791489038,54.32561059013258,tcp,CON,dos
37158,2.4528520357326427,45,52,65.60636679742102,3920,381917,3359.694012590102,61.350584890384205,udp,FIN,dos
67864,2.851493200377827,32,49,22.723505268819444,8880,335223,13882.665333402707,96.30489398824702,udp,CON,ddos
52084,1.1995803152570201,72,94,65.00810978964364,8560,389236,107569.54810656728,67.52310640888768,udp,CON,ddos
65734,2.6220867137188772,35,53,116.7722528138477,763,255324,2404.576170813775,44.368430017152136,udp,CON,normal
89046,0.5425396475068516,69,81,85.72931709385891,9830,150736,34768.515924135434,99.40011287889834,udp,CON,ddos
34699,0.7624401539649246,14,68,57.71842616744264,4435,59859,4125.222747058367,37.32389748775028,udp,CON,dos
80624,0.5716996028153578,63,32,109.93016218577945,846,86607,3692.2584238090158,16.255850186533937,udp,CON,normal
22672,0.9449412407311799,47,71,69.0381474662802,5390,265644,77881.4176585025,61.798005278465816,tcp,FIN,ddos
25185,0.5044255756893309,213,32,16.20662479933768,842,333472,4492.575909348602,26.62506334218907,tcp,CON,reconnaissance
93385,4.889993758752238,34,67,65.70161022784696,3175,477600,4306.412922359838,92.22048369006586,icmp,CON,dos
42108,0.562792278332898,21,64,21.71759287078877,780,434935,1134.0356130586083,42.78683644721995,udp,FIN,dos
86203,0.15478520580259036,31,42,92.10081314488217,729,267356,4393.442903291614,14.961634988073557,udp,CON,normal
51664,1.122410136087515,18,86,116.0609385411507,194,124506,1870.2617938845713,14.163057016514802,tcp,CON,normal
