flow_duration,total_fwd_packets,total_bwd_packets,fwd_pkt_len_max,fwd_pkt_len_min,bwd_pkt_len_max,bwd_pkt_len_min,flow_bytes_s,flow_pkts_s,flow_iat_mean,flow_iat_std,active_mean,idle_mean,label
9700444,454,384,129,58,1145,20,620799.2281535078,8550.648705415611,41368.42544325536,11132.681451444136,3201.6697395907845,516227.54880380817,normal
1007393,123,18,1480,26,248,59,408845.5900751581,5762.378532929388,4650.448846002119,8428.687032447964,23818.209156416116,471689.0286134724,dos
4774283,186,45,524,45,1012,18,665621.3098273859,5595.54331632021,5219.031877383494,16394.219800915616,44225.796357687985,828860.0678596506,portscan
3366712,484,450,1077,61,206,22,955966.77627793,9051.426180343859,40062.5944260417,8425.773891922561,27778.1843806413,128987.361887135,dos
8411955,168,385,1331,59,114,13,516875.33682739985,2885.5402692748157,8538.123085131,2724.45012446471,39524.23015732209,264337.8480252103,portscan
5267280,51,55,1887,30,238,58,940079.8365988479,1454.590975986574,19823.327103869346,571.6611299959241,83061.79070890343,732654.6151917202,normal
7807413,379,228,1022,2,565,5,642887.2356802387,827.8394450944432,37054.64073210613,17843.254060445102,56928.12595229623,613963.1879167007,normal
2704338,40,144,274,34,1099,31,482909.2408044822,132156.8734594998,48285.83448862749,9334.064931403058,41930.056515575874,159028.21643228026,ddos
2630808,616,91,657,23,1192,49,644170.4402114243,55766.92471907557,31100.173685294547,11259.23712559223,48584.300311662584,210672.08432795247,ddos
3494779,160,81,1764,51,1071,31,602541.0450606085,4987.312825051245,40581.38429133635,2294.820555221957,27471.272723875463,879847.8786313527,dos
5517309,208,224,153,6,735,7,421697.3409360617,8030.62015604669,28691.739872286205,9788.247507873664,21000.6357006037,823727.0961304172,normal
1767740,2056,78,518,50,1093,36,562460.3434579856,55976.14697819172,39512.72855797866,10667.297865791154,21238.554020423417,14882.803000590971,ddos
6723871,205,149,416,55,507,21,703248.6729610782,8679.560710462349,9407.10387917243,9305.05566373463,79861.20700441868,951505.9437596002,portscan
1285260,255,360,1530,34,154,7,838866.2924098707,3217.0465271806984,35575.9815762585,19082.39517847352,19344.920343304704,581673.5642028957,normal
6080626,438,282,1641,20,1582,60,304330.73582271865,7323.849025154586,7729.8885940137,11427.701985516997,91116.72769074366,471235.1702879124,dos
5173136,11,310,1630,0,460,37,14647.927004295292,6673.732647879282,4105.1857185608405,19487.745052572474,44935.28623221237,355589.6792781633,normal
1425572,437,484,666,43,1396,9,551217.9018964733,2013.540917976142,40606.2063688985,3066.664296421586,53346.95975666866,375804.4045349799,normal
49084,64,159,1856,52,790,2,489284.1692197268,18675.98405051278,12925.734451674434,18283.78784811149,61097.466294990234,494589.06211638334,ddos
6556268,409,315,704,5,1225,12,54198.80320276782,1115.6355783224903,43764.50399673157,11058.427250765646,30624.646386288747,210572.01494730104,normal
1504484,424,364,1256,38,653,38,632506.4100173552,6509.173265721349,1963.1657625225598,5922.729263398308,89556.16796978231,131478.36874102315,portscan
2231019,32,466,1876,33,316,63,941400.3573430864,129.53631575237313,45553.224616059626,14914.83030282982,60832.1770005955,561009.0706878871,normal
6940219,472,155,1393,17,450,29,402231.7860011018,6606.775793750785,40262.7205268135,11125.243169404735,89950.24156197817,453162.0479272174,dos
1737195,28,155,38,61,1661,3,894360.1892269523,7819.679485008553,44064.33300062385,11513.528130128332,50750.08023128489,676981.7884679773,normal
4780550,206,375,1030,24,1867,44,813101.3581918458,3025.172058186425,2328.6086406857335,3438.7812030340447,3896.690899363886,492676.2089777463,portscan
7469444,3944,201,138,14,1688,5,161716.28787423042,111855.4560965121,43927.89707668564,13598.807100988115,3114.7603074868857,392420.4106983241,ddos
2109918,387,467,1858,46,576,15,787279.8347701409,1653.9463518211273,29382.115124767046,5882.793507391182,30769.172214409857,343555.07782785624,normal
2231885,1824,408,321,31,1119,21,516706.0815393847,144073.70137741748,4209.571661486408,7115.280983502592,84732.65133847093,577374.1922464473,ddos
3853439,128,340,1328,41,1943,26,918628.5204313196,2320.7386782018975,9310.543330566745,18131.52798666327,26644.575631520438,278726.39857024583,portscan
9467819,255,461,246,48,1716,20,189426.23545941483,4883.701601356596,9740.14248752696,3589.9636823362857,48443.701069549796,817701.7491342295,normal
996207,3800,341,1550,49,495,28,125046.4464147607,147074.47554202264,10682.804269512508,17732.903506358078,20154.116386085952,793604.2433488676,ddos
7130244,1696,116,1544,17,361,0,241280.3995520102,136070.8356583265,35204.507196425555,10008.361151218214,75005.48862232864,643915.8947385987,ddos
4545683,239,153,1255,30,456,29,59626.71044730117,6594.6856309582145,29157.38273455453,3570.2040857408933,66974.95001402419,385722.8150166923,dos
3747489,207,363,375,63,1201,23,320080.0988318406,3691.990667689018,45150.541885720944,16231.97721074889,90249.97271674626,602169.7889496253,normal
4142907,2544,330,720,28,128,63,283008.89801282546,105013.70030946685,15354.640253244428,13049.933831465369,35506.91321528615,621856.5732417961,ddos
7988104,283,118,506,14,1513,12,416215.0993377878,4602.789532655143,419.13099263294396,6936.411504707622,98489.12815755187,677451.6961887621,portscan
6245135,245,198,1364,57,1062,29,462977.20291605184,1088.4887316023537,49750.017747465434,6014.521463274343,87766.8011476941,381475.4809009472,normal
3602379,45,400,1706,22,1481,25,144720.54851510862,7959.797289816139,15644.066031028731,8418.862473166691,44844.18742111381,417745.2266882683,dos
5516089,840,465,242,37,811,33,619373.9286373976,130741.92687894292,8104.720167920586,2724.2692673989222,86027.5103292819,910726.4727071951,ddos
2121790,348,262,1683,40,872,19,223567.39880999454,4076.128569974676,49219.21178243496,16184.989725812162,42482.41317451205,110621.87842152848,normal
491334,2248,183,1803,10,349,60,121928.66894624721,99859.44794936069,28149.05557507781,5573.127654537113,78751.10531469346,131611.2117035556,ddos
9909809,234,447,1606,14,644,59,708811.0926753038,303.7234374365192,7451.416522238377,16537.346529433657,36007.09616016582,990613.9554126838,normal
5401318,189,147,1234,22,1914,50,22735.263482850376,1972.5817357821568,41792.71653924797,14626.069254160542,25531.73570086833,623349.9056373845,bot
6914650,44,165,1014,2,451,5,368365.94064430986,5702.682196942221,47271.494798043146,18836.712061049333,73761.35256258846,458678.12875606475,normal
6167394,494,74,519,18,1403,42,144403.27943201858,2740.8988269200568,44065.188345071685,1982.8274863894512,96460.03757569684,120009.63898847028,dos
9286129,1800,235,1538,0,108,48,882792.7019948731,141654.62214669038,9938.980602077825,6983.637822389353,72644.07312309279,643932.4392523594,ddos
6906826,430,313,1280,23,1607,8,824458.3961993369,8370.457573912008,2643.8713335228676,12477.682970417367,97643.05419736281,775606.0828655986,normal
5888894,1136,271,1065,48,1231,63,60526.70235951119,98251.44944314055,18571.27108705522,17171.533658762077,92053.3524491427,531186.8246349412,ddos
7558258,136,178,1665,10,576,36,550451.0697401906,9988.39819278756,17748.70257595621,3112.5838508184556,42629.489949066745,49282.2336079054,normal
6510525,1408,282,1370,29,240,36,295355.5403600566,36488.31898705841,20301.895664940705,17227.96996445287,50502.633530119514,510647.72665072413,ddos
8511117,142,50,1588,49,590,15,192545.538360152,9191.278461788337,39951.0428356206,1339.507875492747,19042.699627025162,152666.22792984053,normal
7887839,3592,74,1170,10,1111,3,311538.63612074364,45687.05899134435,492.23106096606574,9487.137106048476,43918.07285352601,432473.24298425607,ddos
769698,80,143,384,59,1422,31,815887.3592789869,5965.987867691689,33743.92493621119,1688.8847348675417,76720.41198280592,292650.39271524496,dos
5292995,82,342,1911,38,1713,19,57855.37087787684,4343.728627006719,49257.850026882836,2997.4044314595826,52248.446815649986,130696.60750564882,dos
7971479,135,187,1087,0,1285,28,648233.3840785263,4432.201620010844,19963.668298541477,15498.403634063998,97344.20083574875,47446.04311440426,dos
3331168,207,122,538,11,577,30,913370.1453231224,7625.123990366215,24258.021269789515,372.6207383724911,11492.854989290003,598838.8041477475,normal
3256515,2752,331,1171,3,324,63,448056.34740640223,52132.49167342441,31402.476402568,11107.277656608592,50774.06598380989,572744.7464886357,ddos
874471,1416,250,1646,24,370,44,901513.930188381,76129.99622356903,14286.34104870826,1966.0380423010592,53211.185757815336,159643.15214372094,ddos
5654337,3064,295,1173,7,1958,16,906800.4290742326,31758.22262354996,35928.66844117329,16225.229583594664,14882.257338910698,917817.0921326134,ddos
973648,243,322,548,14,104,40,609595.7720224516,7634.739246177107,10157.818782151206,16163.339850395829,79706.7874644079,874471.148095278,normal
3344114,55,129,1364,42,97,24,455840.5334386021,5519.360139574516,3248.9524625710933,14055.805022297604,81814.38462172721,269067.6339478729,normal
7064846,141,251,205,29,1510,44,737663.6490277235,2550.710466243293,40068.4285256729,15118.767681555739,89738.96672374794,504171.88688095525,dos
9602183,457,357,1665,60,95,15,916222.6385415472,2659.424220638831,8834.164340200121,11815.54040072379,93703.85470093317,506579.7831130362,normal
6216304,440,431,817,39,1948,19,680035.3444096658,2935.438446661773,36577.362947974536,9709.822772578775,74743.33879905913,180220.72436444403,dos
5193642,56,179,1001,31,1495,41,209607.18051566128,6992.949573313905,43566.67134033736,8202.866879598469,84174.18472388582,395700.5156871097,dos
2959134,15,407,367,43,45,9,820055.7464538421,5950.960510863141,2298.2754050668636,13226.333653566495,7299.223482932315,637736.955593103,bot
4574393,185,348,1524,34,889,51,951533.3598241641,8222.474381588061,35337.72402737151,7655.98150881099,38381.957825448655,500532.48297059396,normal
6707071,314,494,941,20,30,59,410274.87917129433,5715.341999245928,32315.31681323449,55.84156478945612,28498.3908631844,381335.9862540311,dos
43685,419,109,1718,30,407,47,697589.6768834229,3066.6032544796763,31197.73442868165,2014.9908233578185,79386.23462255405,438799.29239125195,dos
2539548,88,481,1630,35,1398,22,518166.34903572476,9628.705732912626,2954.9918237003644,13036.30896266466,30854.822473497356,643183.2734562188,portscan
109656,776,467,1754,26,1405,51,112009.18696124351,132915.8008279294,2291.02439284279,7298.426231681574,50104.96494600759,920858.2046225424,ddos
1575657,144,337,1967,43,1934,32,349842.01429835946,2788.2860991255734,4933.319771606798,19791.040498378075,42378.17754705594,917781.0989691823,dos
8306561,8,77,940,7,715,42,163829.60849248918,9126.93838107019,13653.003205295008,7078.394692089467,75850.91410318474,844462.1024926375,dos
2009121,477,465,976,58,1683,62,673573.3583565512,7201.271390821701,20315.36068271149,2168.48708211969,57675.28522927111,448911.2103312569,bot
1201582,1720,1,380,63,643,12,582094.6991329929,62204.94658535857,45905.6534655991,6567.635156415008,39467.63136533108,990893.5892523011,ddos
542435,173,320,1330,22,697,24,33534.402083629124,4668.82148868487,34206.93205539675,13736.982614037814,13102.800655562442,158847.53307370824,normal
4270170,1784,275,201,61,972,49,61606.91426546194,66958.06177362626,1315.6513762007428,10565.521531825963,16329.748850164839,461912.72083160875,ddos
6700479,320,289,1494,22,700,36,260792.48221966068,119529.8269162687,45986.50904679835,12205.912831784031,72150.41801609284,540197.8082204156,ddos
3561020,497,296,116,41,1512,35,744859.5321432004,1755.1244810176076,36020.29587117954,2224.740236403544,3351.111645924487,973476.3952693953,normal
6860106,1456,168,582,57,1662,23,126836.10006049061,8801.595772136796,24633.747501938073,16539.62970770463,43851.6428448854,481064.10735391604,ddos
2484513,270,239,333,54,875,5,204774.10105839468,4984.629270211689,23156.136241350785,18047.74363726314,72992.20311086897,652682.6333550927,dos
2907460,1496,458,1589,32,905,14,907626.3948688719,43562.49949056735,46659.82623340533,2906.9997425124793,36481.814935235394,234399.84465165075,ddos
5895644,1960,474,974,12,808,54,546137.5046024283,84589.3012286261,27504.908040823222,12522.733336608018,65066.67368651153,523224.7262193698,ddos
5697569,478,22,40,62,1332,33,620849.6424772198,9781.95089028186,25143.78897092145,4595.301710908148,76896.65350821125,657428.9408096954,dos
2235100,2472,293,1739,38,598,3,455766.1453650794,100718.37756499343,38733.47849562158,3645.465624880284,88005.29413983015,228142.91210665338,ddos
6908631,231,171,824,51,966,13,299770.9905208963,9592.187366716023,29659.855057752768,4091.361047993931,22437.439566132056,521866.4660614678,normal
4322352,383,322,595,59,632,3,249130.28532298785,7320.573918154452,12450.550622346766,10426.40175040347,70425.2435842969,657955.8398170406,dos
5822284,155,317,1540,34,1867,27,589219.5862613517,759.2427567418863,49943.96515887085,17718.003743188343,55877.1169861634,277118.9593536033,normal
402790,175,395,422,60,1839,28,470975.2966009214,8893.019783640377,14046.171842873875,16372.086684192642,45905.60248669734,465602.7547282205,dos
2548521,336,285,1167,15,1934,17,403033.12359001045,1989.276077387035,34159.49301191158,2867.668300792818,41850.38698756245,814291.5820668138,normal
1954209,920,478,632,11,134,57,694385.1643543439,129718.60366424292,24491.8985605364,10198.39632776987,87284.1978403841,538188.0507964793,ddos
4422980,390,342,1162,60,327,19,404154.15822699055,7490.859103246768,6100.476318858911,3017.6927090564786,17925.56191827691,215277.28993781525,normal
7205647,311,192,1896,30,198,47,36730.38093640768,8386.19191026046,47949.354290794385,8760.96986487808,77842.77474218071,214228.5287012673,normal
8323835,481,168,1633,4,682,40,839669.9333378972,2535.879065147351,3358.628612087813,11250.517136810084,7653.444657815389,706623.4690779458,portscan
6457394,2400,403,989,49,1283,31,318403.44092236715,121109.81150507394,32854.279607500976,16231.5804290397,54783.36371776191,282376.8741695566,ddos
1384350,18,117,712,39,123,7,946401.7349174132,6103.559411900792,7377.595271005254,17226.08399856277,15997.110177489592,24201.54664400087,portscan
61187,272,5,1754,43,753,42,879558.0933107152,818.8220700246904,3948.3688719245147,553.9987016778491,45951.287708425814,852402.3158173102,portscan
6410007,12,330,1520,59,1970,45,233916.24424314394,8891.330353170068,13044.273596378009,13784.30789055779,48241.59063442549,18682.40220912931,normal
1496276,404,482,978,24,1606,48,965471.0148944437,8768.124965094945,590.9117372895655,8203.180748721084,73205.77738315974,549085.6542234448,portscan
39453,301,131,891,20,381,12,853560.759463925,5719.95412432025,47578.70589400652,9899.075853932854,20899.594611372817,222771.06489159938,dos
6484631,1536,92,1745,2,1530,39,985016.453652259,67894.46776587193,29108.236096785535,4436.858881078658,29500.171121007268,777106.6059689897,ddos
3360111,1856,250,859,47,570,45,677948.4551410803,60082.95278947355,35823.41680178913,685.3930588870072,50096.06039397657,138884.80806194604,ddos
7655009,443,9,122,9,1132,42,930726.7492442422,6027.412555182953,23447.916958430524,16707.804351376824,75647.03305199962,854928.7570592924,normal
4259722,93,50,352,22,1064,8,690093.1220517148,8416.923727857198,11668.07421670369,4612.560491721411,54447.568739751165,570639.6037767618,normal
4959717,478,348,1921,16,1468,39,855093.3904508911,5659.32000462667,49770.68105397881,17605.95050080837,79404.19335467789,169135.97711530016,dos
5725670,218,293,1830,41,797,45,610429.2926794068,1296.6051842549607,48370.12540905976,1394.0412629447474,65466.03339824878,648557.3383986373,normal
416980,278,128,1502,34,890,46,929174.3725799621,3061.7612067470345,43001.09418831357,8168.652437322994,91914.84493824291,29282.59847228487,normal
7072795,2824,487,1173,24,1169,57,518086.9056294569,100237.51612897328,45807.2954496904,14846.916318869726,66877.17075702007,600375.8193772828,ddos
7433396,487,391,772,1,1821,32,736568.7256591246,6468.282846621164,28756.287753164153,5134.951298737223,34641.93074835765,744771.6071133547,normal
4965150,2424,248,153,26,1926,55,916960.4520931779,77835.44088058462,18395.7335949905,19348.26880988378,10078.916747915657,479865.23643023404,ddos
813268,29,101,1200,45,1587,11,422390.1187439013,2404.8554055266686,17164.191185685217,12749.926141320148,70431.3482505629,148992.40052290674,normal
225381,3760,336,444,8,175,36,26402.07490361146,40588.05011696248,46686.90115655693,4347.846332637,98253.29123613393,197435.77057268337,ddos
3782975,301,82,1478,58,1302,24,113047.11393745159,4842.547756615929,47943.69065986579,15872.240024970286,48761.78212188876,146277.65764855294,dos
2995865,77,190,1432,48,379,45,971911.4417499347,3945.0230402528946,22029.844096089862,19691.359080677088,13510.569421190932,404158.85131175845,dos
7734202,9,416,956,3,164,24,873202.5412238332,3159.437467712548,30358.432502386764,4981.870731303579,32032.98896805886,177222.74853092147,normal
5595208,24,142,1361,59,1862,53,483417.43979633646,8294.598290837266,40265.43138620028,16450.097676107813,41030.35685253815,299670.3406185651,normal
5674819,15,236,1713,25,1509,15,960899.4120683175,5040.236830862241,35128.378256998476,19545.283704794794,13739.8557053385,136956.3222702368,normal
8658244,164,286,524,31,763,50,185605.54577562204,5030.737257514796,43485.22902221728,4414.616308052946,33209.362347302376,177420.92748869042,normal
6609380,104,276,890,28,614,59,110966.36749719457,64209.24633546438,30435.534345311913,4690.591724456505,79882.05986662375,934444.581176827,ddos
5500406,347,386,209,21,1588,15,601440.0779153146,6809.06006067432,29128.254587013038,14342.269576700779,31710.789290993114,14325.24589076134,dos
4372193,172,381,631,46,1790,38,382120.2970347808,1756.5792930817786,18795.2911092464,19013.181907515376,99864.42071018723,523042.0669383128,normal
1561829,357,449,1454,12,1384,34,339769.6359570067,9435.886337018352,3673.170037181397,13905.510451077314,29087.89127192186,430909.58466450445,dos
5031695,327,290,1989,22,172,22,734151.8951648115,1046.2162214714656,557.3103041423569,10092.275160616437,9918.479960241712,281184.99587340216,portscan
5478147,200,168,71,62,762,7,150013.13492029277,7103.026711372619,7596.028406571578,2104.5895355305342,78821.21614380239,798005.4924195157,dos
9070377,485,442,1604,30,1200,52,778449.0227901158,7043.056262081919,2898.0766430159306,18487.50407776321,12104.379793086784,219155.47108373023,dos
1119143,489,143,1489,50,1072,63,359449.61593419657,1139.4663104530255,26761.85134974637,1382.0157729431014,4760.996751589352,891865.351994949,dos
7103330,462,183,631,40,1134,52,986737.5579587303,9930.428223807678,20184.8201235886,4230.735860959316,39608.69287693305,682634.353762164,normal
2558331,378,44,1487,35,1233,45,808746.0868985846,343.2353489756697,1323.511905094679,9014.954634844078,90163.50491745614,663915.7171414361,dos
6660008,76,242,1425,52,1783,51,646223.5620980959,3646.9631885839685,1104.4517759023843,10012.443620857208,57046.80950711964,962636.3177076839,dos
3080489,1312,314,1806,39,1710,2,229446.26993410554,63716.40049996807,26155.549537877694,1103.5703230090287,91778.99724441332,865504.2342276615,ddos
1662009,372,433,393,30,618,59,956426.460013974,8028.081451977417,27460.17000483946,1645.9619496074972,87343.09428128308,487413.37151050166,dos
2656238,61,468,1609,59,664,23,32910.03976710016,298.27082927140106,1873.9124415380647,2502.50756859971,7595.62993716647,577149.1336905967,dos
